#N p m dm
2 1 8.168515336437723 0.04965583956616595
3 1 10.664175286638434 0.08204856405250266
4 1 11.72560304154433 0.12336400394698151
4 2 11.7129529056571 0.11941000308259252
5 1 12.375409470600033 0.1727004082703345
5 2 12.331044316641979 0.16119616240448664
6 1 12.841967337269063 0.22236655491524593
6 2 12.775747524684766 0.20504985740289353
6 3 12.745659887527136 0.19876040529047379
3 1 10.664175286638434 0.08204856405250266
3 2 10.664185024805905 0.08205317325210146
