Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
37	:	1596905927.283	    30.245	0	35	0	0	python main_script.py 7 4 20
33	:	1596905927.275	    30.263	0	35	0	0	python main_script.py 7 4 40
45	:	1596905927.298	    30.240	0	35	0	0	python main_script.py 7 5 30
35	:	1596905927.279	    30.284	0	35	0	0	python main_script.py 7 4 30
32	:	1596905927.273	    30.299	0	35	0	0	python main_script.py 7 4 45
36	:	1596905927.281	    30.292	0	35	0	0	python main_script.py 7 4 25
47	:	1596905927.301	    30.281	0	35	0	0	python main_script.py 7 5 20
48	:	1596905927.303	    30.279	0	35	0	0	python main_script.py 7 5 15
34	:	1596905927.277	    30.309	0	35	0	0	python main_script.py 7 4 35
43	:	1596905927.295	    30.303	0	35	0	0	python main_script.py 7 5 40
39	:	1596905927.287	    30.315	0	35	0	0	python main_script.py 7 4 10
44	:	1596905927.296	    30.306	0	35	0	0	python main_script.py 7 5 35
40	:	1596905927.289	    30.335	0	35	0	0	python main_script.py 7 4 5
38	:	1596905927.285	    30.345	0	35	0	0	python main_script.py 7 4 15
31	:	1596905927.271	    30.376	0	35	0	0	python main_script.py 7 4 50
42	:	1596905927.293	    30.355	0	35	0	0	python main_script.py 7 5 45
49	:	1596905927.305	    30.342	0	35	0	0	python main_script.py 7 5 10
50	:	1596905927.306	    30.345	0	35	0	0	python main_script.py 7 5 5
46	:	1596905927.300	    30.361	0	35	0	0	python main_script.py 7 5 25
41	:	1596905927.291	    30.382	0	35	0	0	python main_script.py 7 5 50
27	:	1596905927.263	   113.733	0	370	0	0	python main_script.py 7 3 20
28	:	1596905927.265	   114.288	0	363	0	0	python main_script.py 7 3 15
9	:	1596905927.228	   115.343	0	371	0	0	python main_script.py 7 1 10
18	:	1596905927.244	   116.292	0	370	0	0	python main_script.py 7 2 15
19	:	1596905927.247	   117.584	0	371	0	0	python main_script.py 7 2 10
29	:	1596905927.267	   120.403	0	371	0	0	python main_script.py 7 3 10
17	:	1596905927.242	   121.225	0	370	0	0	python main_script.py 7 2 20
30	:	1596905927.269	   122.859	0	371	0	0	python main_script.py 7 3 5
10	:	1596905927.229	   123.103	0	352	0	0	python main_script.py 7 1 5
20	:	1596905927.249	   124.059	0	371	0	0	python main_script.py 7 2 5
7	:	1596905927.225	   124.828	0	371	0	0	python main_script.py 7 1 20
8	:	1596905927.226	   127.296	0	372	0	0	python main_script.py 7 1 15
6	:	1596905927.223	   132.016	0	373	0	0	python main_script.py 7 1 25
26	:	1596905927.262	   133.642	0	371	0	0	python main_script.py 7 3 25
16	:	1596905927.240	   138.226	0	371	0	0	python main_script.py 7 2 25
15	:	1596905927.238	   140.187	0	368	0	0	python main_script.py 7 2 30
5	:	1596905927.222	   144.925	0	373	0	0	python main_script.py 7 1 30
25	:	1596905927.259	   148.511	0	369	0	0	python main_script.py 7 3 30
24	:	1596905927.257	   155.406	0	355	0	0	python main_script.py 7 3 35
4	:	1596905927.220	   157.762	0	373	0	0	python main_script.py 7 1 35
14	:	1596905927.235	   158.238	0	369	0	0	python main_script.py 7 2 35
13	:	1596905927.234	   160.990	0	370	0	0	python main_script.py 7 2 40
23	:	1596905927.255	   161.588	0	371	0	0	python main_script.py 7 3 40
3	:	1596905927.219	   163.421	0	372	0	0	python main_script.py 7 1 40
78	:	1596905927.366	   164.195	0	370	0	0	python main_script.py 10 3 15
2	:	1596905927.217	   165.385	0	373	0	0	python main_script.py 7 1 45
59	:	1596905927.326	   165.765	0	358	0	0	python main_script.py 10 1 10
70	:	1596905927.349	   166.042	0	373	0	0	python main_script.py 10 2 5
68	:	1596905927.345	   166.657	0	372	0	0	python main_script.py 10 2 15
58	:	1596905927.324	   168.191	0	373	0	0	python main_script.py 10 1 15
67	:	1596905927.343	   168.505	0	373	0	0	python main_script.py 10 2 20
80	:	1596905927.370	   168.711	0	373	0	0	python main_script.py 10 3 5
79	:	1596905927.368	   168.810	0	372	0	0	python main_script.py 10 3 10
87	:	1596905957.586	   138.762	0	369	0	0	python main_script.py 10 4 20
