Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
24	:	1596707553.778	     5.183	0	35	0	0	python main_script.py 4 4 35
27	:	1596707553.784	     5.203	0	35	0	0	python main_script.py 4 4 20
20	:	1596707553.770	     5.236	0	35	0	0	python main_script.py 4 3 5
43	:	1596707553.816	     5.194	0	35	0	0	python main_script.py 5 3 40
52	:	1596707553.836	     5.176	0	35	0	0	python main_script.py 5 4 45
55	:	1596707553.843	     5.189	0	35	0	0	python main_script.py 5 4 30
14	:	1596707553.759	     5.277	0	35	0	0	python main_script.py 4 3 35
26	:	1596707553.782	     5.266	0	35	0	0	python main_script.py 4 4 25
47	:	1596707553.825	     5.227	0	35	0	0	python main_script.py 5 3 20
19	:	1596707553.768	     5.294	0	35	0	0	python main_script.py 4 3 10
46	:	1596707553.822	     5.244	0	35	0	0	python main_script.py 5 3 25
25	:	1596707553.780	     5.292	0	35	0	0	python main_script.py 4 4 30
56	:	1596707553.845	     5.233	0	35	0	0	python main_script.py 5 4 25
51	:	1596707553.834	     5.248	0	35	0	0	python main_script.py 5 4 50
11	:	1596707553.754	     5.332	0	35	0	0	python main_script.py 4 3 50
49	:	1596707553.829	     5.275	0	35	0	0	python main_script.py 5 3 10
22	:	1596707553.774	     5.331	0	35	0	0	python main_script.py 4 4 45
48	:	1596707553.827	     5.282	0	35	0	0	python main_script.py 5 3 15
53	:	1596707553.838	     5.271	0	35	0	0	python main_script.py 5 4 40
42	:	1596707553.813	     5.305	0	35	0	0	python main_script.py 5 3 45
18	:	1596707553.767	     5.355	0	35	0	0	python main_script.py 4 3 15
41	:	1596707553.811	     5.312	0	35	0	0	python main_script.py 5 3 50
58	:	1596707553.849	     5.279	0	35	0	0	python main_script.py 5 4 15
60	:	1596707553.854	     5.274	0	35	0	0	python main_script.py 5 4 5
54	:	1596707553.840	     5.300	0	35	0	0	python main_script.py 5 4 35
15	:	1596707553.761	     5.386	0	35	0	0	python main_script.py 4 3 30
44	:	1596707553.818	     5.329	0	35	0	0	python main_script.py 5 3 35
59	:	1596707553.851	     5.296	0	35	0	0	python main_script.py 5 4 10
12	:	1596707553.755	     5.403	0	35	0	0	python main_script.py 4 3 45
16	:	1596707553.763	     5.401	0	35	0	0	python main_script.py 4 3 25
17	:	1596707553.765	     5.402	0	35	0	0	python main_script.py 4 3 20
28	:	1596707553.786	     5.387	0	35	0	0	python main_script.py 4 4 15
29	:	1596707553.788	     5.389	0	35	0	0	python main_script.py 4 4 10
30	:	1596707553.790	     5.404	0	35	0	0	python main_script.py 4 4 5
45	:	1596707553.820	     5.396	0	35	0	0	python main_script.py 5 3 30
50	:	1596707553.831	     5.413	0	35	0	0	python main_script.py 5 3 5
13	:	1596707553.757	     5.489	0	35	0	0	python main_script.py 4 3 40
23	:	1596707553.776	     5.552	0	35	0	0	python main_script.py 4 4 40
21	:	1596707553.772	     8.013	0	35	0	0	python main_script.py 4 4 50
57	:	1596707553.847	     8.040	0	35	0	0	python main_script.py 5 4 20
82	:	1596707558.993	     3.891	0	35	0	0	python main_script.py 6 4 45
84	:	1596707559.016	     4.096	0	35	0	0	python main_script.py 6 4 35
89	:	1596707559.061	     4.061	0	35	0	0	python main_script.py 6 4 10
81	:	1596707558.967	     4.161	0	35	0	0	python main_script.py 6 4 50
83	:	1596707559.011	     4.118	0	35	0	0	python main_script.py 6 4 40
87	:	1596707559.042	     4.118	0	35	0	0	python main_script.py 6 4 20
113	:	1596707559.182	     3.994	0	35	0	0	python main_script.py 7 4 40
114	:	1596707559.200	     4.000	0	35	0	0	python main_script.py 7 4 35
85	:	1596707559.024	     4.190	0	35	0	0	python main_script.py 6 4 30
90	:	1596707559.067	     4.175	0	35	0	0	python main_script.py 6 4 5
86	:	1596707559.037	     4.225	0	35	0	0	python main_script.py 6 4 25
111	:	1596707559.172	     4.182	0	35	0	0	python main_script.py 7 4 50
115	:	1596707559.221	     4.207	0	35	0	0	python main_script.py 7 4 30
118	:	1596707559.333	     4.121	0	35	0	0	python main_script.py 7 4 15
116	:	1596707559.250	     4.213	0	35	0	0	python main_script.py 7 4 25
112	:	1596707559.176	     4.308	0	35	0	0	python main_script.py 7 4 45
117	:	1596707559.255	     4.273	0	35	0	0	python main_script.py 7 4 20
88	:	1596707559.053	     4.913	0	35	0	0	python main_script.py 6 4 15
119	:	1596707561.790	     3.950	0	35	0	0	python main_script.py 7 4 10
120	:	1596707561.892	     4.236	0	35	0	0	python main_script.py 7 4 5
9	:	1596707553.750	    38.322	0	356	0	0	python main_script.py 4 2 10
7	:	1596707553.746	    40.506	0	355	0	0	python main_script.py 4 2 20
10	:	1596707553.752	    41.211	0	368	0	0	python main_script.py 4 2 5
6	:	1596707553.744	    46.163	0	369	0	0	python main_script.py 4 2 25
8	:	1596707553.748	    46.215	0	369	0	0	python main_script.py 4 2 15
5	:	1596707553.743	    49.013	0	370	0	0	python main_script.py 4 2 30
38	:	1596707553.805	    51.006	0	370	0	0	python main_script.py 5 2 15
37	:	1596707553.803	    51.252	0	356	0	0	python main_script.py 5 2 20
39	:	1596707553.807	    51.732	0	357	0	0	python main_script.py 5 2 10
40	:	1596707553.809	    51.750	0	369	0	0	python main_script.py 5 2 5
36	:	1596707553.801	    53.925	0	355	0	0	python main_script.py 5 2 25
4	:	1596707553.741	    55.716	0	356	0	0	python main_script.py 4 2 35
3	:	1596707553.739	    55.727	0	369	0	0	python main_script.py 4 2 40
69	:	1596707553.873	    60.432	0	371	0	0	python main_script.py 6 2 10
68	:	1596707553.871	    62.161	0	370	0	0	python main_script.py 6 2 15
78	:	1596707553.900	    62.237	0	370	0	0	python main_script.py 6 3 15
79	:	1596707553.916	    62.324	0	372	0	0	python main_script.py 6 3 10
2	:	1596707553.737	    63.676	0	354	0	0	python main_script.py 4 2 45
77	:	1596707553.897	    64.460	0	370	0	0	python main_script.py 6 3 20
67	:	1596707553.868	    65.105	0	371	0	0	python main_script.py 6 2 20
70	:	1596707553.875	    65.140	0	369	0	0	python main_script.py 6 2 5
35	:	1596707553.799	    65.698	0	355	0	0	python main_script.py 5 2 30
80	:	1596707553.933	    66.457	0	371	0	0	python main_script.py 6 3 5
34	:	1596707553.797	    68.901	0	352	0	0	python main_script.py 5 2 35
66	:	1596707553.866	    68.973	0	354	0	0	python main_script.py 6 2 25
1	:	1596707553.735	    70.087	0	368	0	0	python main_script.py 4 2 50
76	:	1596707553.893	    70.430	0	355	0	0	python main_script.py 6 3 25
33	:	1596707553.796	    71.591	0	370	0	0	python main_script.py 5 2 40
75	:	1596707553.890	    75.028	0	370	0	0	python main_script.py 6 3 30
65	:	1596707553.864	    75.434	0	370	0	0	python main_script.py 6 2 30
32	:	1596707553.794	    79.424	0	369	0	0	python main_script.py 5 2 45
64	:	1596707553.862	    83.562	0	355	0	0	python main_script.py 6 2 35
31	:	1596707553.792	    83.954	0	367	0	0	python main_script.py 5 2 50
74	:	1596707553.887	    84.865	0	368	0	0	python main_script.py 6 3 35
73	:	1596707553.884	    86.827	0	369	0	0	python main_script.py 6 3 40
63	:	1596707553.860	    88.547	0	370	0	0	python main_script.py 6 2 40
62	:	1596707553.858	    96.174	0	355	0	0	python main_script.py 6 2 45
72	:	1596707553.880	    96.637	0	356	0	0	python main_script.py 6 3 45
108	:	1596707559.159	    91.535	0	363	0	0	python main_script.py 7 3 15
107	:	1596707559.155	    93.279	0	370	0	0	python main_script.py 7 3 20
99	:	1596707559.123	    93.666	0	371	0	0	python main_script.py 7 2 10
97	:	1596707559.114	    94.310	0	370	0	0	python main_script.py 7 2 20
110	:	1596707559.167	    95.325	0	371	0	0	python main_script.py 7 3 5
100	:	1596707559.127	    96.134	0	371	0	0	python main_script.py 7 2 5
61	:	1596707553.856	   101.873	0	368	0	0	python main_script.py 6 2 50
109	:	1596707559.163	    96.616	0	371	0	0	python main_script.py 7 3 10
98	:	1596707559.118	    96.690	0	370	0	0	python main_script.py 7 2 15
71	:	1596707553.877	   104.827	0	354	0	0	python main_script.py 6 3 50
106	:	1596707559.150	   101.665	0	370	0	0	python main_script.py 7 3 25
96	:	1596707559.109	   102.904	0	370	0	0	python main_script.py 7 2 25
127	:	1596707563.181	   105.578	0	371	0	0	python main_script.py 8 2 20
130	:	1596707563.247	   106.187	0	372	0	0	python main_script.py 8 2 5
128	:	1596707563.206	   106.301	0	371	0	0	python main_script.py 8 2 15
137	:	1596707563.537	   106.404	0	358	0	0	python main_script.py 8 3 20
138	:	1596707563.973	   106.201	0	371	0	0	python main_script.py 8 3 15
129	:	1596707563.220	   107.072	0	357	0	0	python main_script.py 8 2 10
95	:	1596707559.093	   112.297	0	368	0	0	python main_script.py 7 2 30
140	:	1596707566.134	   105.404	0	372	0	0	python main_script.py 8 3 5
105	:	1596707559.147	   113.358	0	369	0	0	python main_script.py 7 3 30
139	:	1596707565.760	   106.750	0	355	0	0	python main_script.py 8 3 10
126	:	1596707563.166	   115.393	0	371	0	0	python main_script.py 8 2 25
104	:	1596707559.142	   119.746	0	355	0	0	python main_script.py 7 3 35
136	:	1596707563.495	   116.982	0	369	0	0	python main_script.py 8 3 25
94	:	1596707559.087	   121.411	0	369	0	0	python main_script.py 7 2 35
103	:	1596707559.139	   126.031	0	371	0	0	python main_script.py 7 3 40
93	:	1596707559.082	   126.525	0	370	0	0	python main_script.py 7 2 40
125	:	1596707563.142	   123.608	0	372	0	0	python main_script.py 8 2 30
135	:	1596707563.468	   124.016	0	357	0	0	python main_script.py 8 3 30
102	:	1596707559.135	   132.058	0	358	0	0	python main_script.py 7 3 45
124	:	1596707563.132	   129.838	0	369	0	0	python main_script.py 8 2 35
92	:	1596707559.078	   134.225	0	370	0	0	python main_script.py 7 2 45
134	:	1596707563.463	   132.483	0	357	0	0	python main_script.py 8 3 35
101	:	1596707559.132	   140.397	0	372	0	0	python main_script.py 7 3 50
123	:	1596707563.128	   136.517	0	369	0	0	python main_script.py 8 2 40
148	:	1596707605.059	    94.667	0	355	0	0	python main_script.py 8 4 15
147	:	1596707604.824	    95.076	0	368	0	0	python main_script.py 8 4 20
91	:	1596707559.073	   140.848	0	370	0	0	python main_script.py 7 2 50
150	:	1596707605.572	    94.401	0	368	0	0	python main_script.py 8 4 5
133	:	1596707563.440	   139.264	0	370	0	0	python main_script.py 8 3 40
149	:	1596707605.558	    97.959	0	370	0	0	python main_script.py 8 4 10
122	:	1596707563.118	   145.273	0	371	0	0	python main_script.py 8 2 45
146	:	1596707602.778	   105.774	0	352	0	0	python main_script.py 8 4 25
132	:	1596707563.358	   145.718	0	358	0	0	python main_script.py 8 3 45
121	:	1596707562.890	   152.698	0	369	0	0	python main_script.py 8 2 50
145	:	1596707599.971	   115.654	0	356	0	0	python main_script.py 8 4 30
131	:	1596707563.266	   153.430	0	357	0	0	python main_script.py 8 3 50
157	:	1596707616.255	   101.459	0	371	0	0	python main_script.py 9 2 20
158	:	1596707617.431	   101.872	0	368	0	0	python main_script.py 9 2 15
159	:	1596707618.363	   101.097	0	356	0	0	python main_script.py 9 2 10
144	:	1596707599.917	   119.625	0	356	0	0	python main_script.py 8 4 35
160	:	1596707618.982	   101.290	0	371	0	0	python main_script.py 9 2 5
168	:	1596707625.391	    95.680	0	355	0	0	python main_script.py 9 3 15
167	:	1596707624.333	    97.015	0	370	0	0	python main_script.py 9 3 20
170	:	1596707629.304	    93.407	0	369	0	0	python main_script.py 9 3 5
156	:	1596707616.155	   107.607	0	355	0	0	python main_script.py 9 2 25
169	:	1596707628.936	    95.284	0	370	0	0	python main_script.py 9 3 10
143	:	1596707594.977	   130.071	0	371	0	0	python main_script.py 8 4 40
166	:	1596707623.831	   103.040	0	370	0	0	python main_script.py 9 3 25
142	:	1596707594.272	   132.952	0	357	0	0	python main_script.py 8 4 45
155	:	1596707616.050	   113.194	0	370	0	0	python main_script.py 9 2 30
179	:	1596707650.713	    79.836	0	371	0	0	python main_script.py 9 4 10
177	:	1596707650.050	    80.779	0	370	0	0	python main_script.py 9 4 20
141	:	1596707592.090	   139.880	0	358	0	0	python main_script.py 8 4 50
178	:	1596707650.527	    81.597	0	353	0	0	python main_script.py 9 4 15
