Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
42	:	1596669187.189	    29.198	0	35	0	0	python main_script.py 5 3 45
45	:	1596669187.195	    29.206	0	35	0	0	python main_script.py 5 3 30
13	:	1596669187.137	    29.276	0	35	0	0	python main_script.py 4 3 40
26	:	1596669187.160	    29.266	0	35	0	0	python main_script.py 4 4 25
17	:	1596669187.145	    29.286	0	35	0	0	python main_script.py 4 3 20
23	:	1596669187.155	    29.276	0	35	0	0	python main_script.py 4 4 40
57	:	1596669187.219	    29.212	0	35	0	0	python main_script.py 5 4 20
48	:	1596669187.200	    29.240	0	35	0	0	python main_script.py 5 3 15
53	:	1596669187.211	    29.230	0	35	0	0	python main_script.py 5 4 40
54	:	1596669187.213	    29.227	0	35	0	0	python main_script.py 5 4 35
28	:	1596669187.163	    29.280	0	35	0	0	python main_script.py 4 4 15
55	:	1596669187.215	    29.239	0	35	0	0	python main_script.py 5 4 30
14	:	1596669187.139	    29.318	0	35	0	0	python main_script.py 4 3 35
25	:	1596669187.159	    29.299	0	35	0	0	python main_script.py 4 4 30
30	:	1596669187.167	    29.290	0	35	0	0	python main_script.py 4 4 5
44	:	1596669187.193	    29.267	0	35	0	0	python main_script.py 5 3 35
29	:	1596669187.164	    29.296	0	35	0	0	python main_script.py 4 4 10
11	:	1596669187.133	    29.333	0	35	0	0	python main_script.py 4 3 50
56	:	1596669187.217	    29.249	0	35	0	0	python main_script.py 5 4 25
19	:	1596669187.149	    29.320	0	35	0	0	python main_script.py 4 3 10
12	:	1596669187.135	    29.334	0	35	0	0	python main_script.py 4 3 45
51	:	1596669187.206	    29.263	0	35	0	0	python main_script.py 5 4 50
24	:	1596669187.157	    29.314	0	35	0	0	python main_script.py 4 4 35
59	:	1596669187.223	    29.248	0	35	0	0	python main_script.py 5 4 10
52	:	1596669187.208	    29.266	0	35	0	0	python main_script.py 5 4 45
16	:	1596669187.143	    29.334	0	35	0	0	python main_script.py 4 3 25
41	:	1596669187.187	    29.289	0	35	0	0	python main_script.py 5 3 50
15	:	1596669187.141	    29.338	0	35	0	0	python main_script.py 4 3 30
18	:	1596669187.147	    29.337	0	35	0	0	python main_script.py 4 3 15
50	:	1596669187.204	    29.282	0	35	0	0	python main_script.py 5 3 5
21	:	1596669187.152	    29.338	0	35	0	0	python main_script.py 4 4 50
27	:	1596669187.162	    29.328	0	35	0	0	python main_script.py 4 4 20
43	:	1596669187.191	    29.299	0	35	0	0	python main_script.py 5 3 40
20	:	1596669187.151	    29.348	0	35	0	0	python main_script.py 4 3 5
49	:	1596669187.202	    29.304	0	35	0	0	python main_script.py 5 3 10
22	:	1596669187.154	    29.355	0	35	0	0	python main_script.py 4 4 45
47	:	1596669187.198	    29.327	0	35	0	0	python main_script.py 5 3 20
60	:	1596669187.226	    29.335	0	35	0	0	python main_script.py 5 4 5
46	:	1596669187.196	    29.368	0	35	0	0	python main_script.py 5 3 25
58	:	1596669187.221	    29.351	0	35	0	0	python main_script.py 5 4 15
115	:	1596669216.534	     3.341	0	35	0	0	python main_script.py 7 4 30
90	:	1596669216.453	     3.439	0	35	0	0	python main_script.py 6 4 5
84	:	1596669216.430	     3.555	0	35	0	0	python main_script.py 6 4 35
89	:	1596669216.450	     3.661	0	35	0	0	python main_script.py 6 4 10
117	:	1596669216.539	     3.580	0	35	0	0	python main_script.py 7 4 20
87	:	1596669216.444	     3.690	0	35	0	0	python main_script.py 6 4 20
81	:	1596669216.391	     3.766	0	35	0	0	python main_script.py 6 4 50
119	:	1596669216.568	     3.620	0	35	0	0	python main_script.py 7 4 10
86	:	1596669216.440	     3.836	0	35	0	0	python main_script.py 6 4 25
120	:	1596669216.574	     3.710	0	35	0	0	python main_script.py 7 4 5
85	:	1596669216.435	     3.853	0	35	0	0	python main_script.py 6 4 30
113	:	1596669216.528	     3.783	0	35	0	0	python main_script.py 7 4 40
112	:	1596669216.525	     3.815	0	35	0	0	python main_script.py 7 4 45
82	:	1596669216.410	     3.947	0	35	0	0	python main_script.py 6 4 45
118	:	1596669216.565	     3.822	0	35	0	0	python main_script.py 7 4 15
114	:	1596669216.531	     3.860	0	35	0	0	python main_script.py 7 4 35
116	:	1596669216.536	     3.872	0	35	0	0	python main_script.py 7 4 25
88	:	1596669216.447	     4.058	0	35	0	0	python main_script.py 6 4 15
83	:	1596669216.417	     4.514	0	35	0	0	python main_script.py 6 4 40
111	:	1596669216.522	     4.642	0	35	0	0	python main_script.py 7 4 50
9	:	1596669187.129	    65.876	0	356	0	0	python main_script.py 4 2 10
7	:	1596669187.125	    66.707	0	355	0	0	python main_script.py 4 2 20
8	:	1596669187.127	    67.055	0	369	0	0	python main_script.py 4 2 15
6	:	1596669187.123	    68.486	0	369	0	0	python main_script.py 4 2 25
10	:	1596669187.131	    68.894	0	368	0	0	python main_script.py 4 2 5
5	:	1596669187.122	    72.424	0	370	0	0	python main_script.py 4 2 30
40	:	1596669187.185	    75.081	0	369	0	0	python main_script.py 5 2 5
37	:	1596669187.180	    76.189	0	356	0	0	python main_script.py 5 2 20
39	:	1596669187.183	    77.462	0	357	0	0	python main_script.py 5 2 10
38	:	1596669187.182	    77.559	0	370	0	0	python main_script.py 5 2 15
3	:	1596669187.119	    79.822	0	369	0	0	python main_script.py 4 2 40
4	:	1596669187.120	    80.696	0	356	0	0	python main_script.py 4 2 35
36	:	1596669187.178	    82.032	0	355	0	0	python main_script.py 5 2 25
2	:	1596669187.117	    85.034	0	354	0	0	python main_script.py 4 2 45
69	:	1596669187.246	    86.376	0	371	0	0	python main_script.py 6 2 10
68	:	1596669187.244	    86.465	0	370	0	0	python main_script.py 6 2 15
80	:	1596669187.273	    86.783	0	371	0	0	python main_script.py 6 3 5
78	:	1596669187.269	    87.013	0	370	0	0	python main_script.py 6 3 15
67	:	1596669187.242	    87.610	0	371	0	0	python main_script.py 6 2 20
79	:	1596669187.271	    87.991	0	372	0	0	python main_script.py 6 3 10
77	:	1596669187.267	    88.931	0	370	0	0	python main_script.py 6 3 20
1	:	1596669187.116	    89.223	0	368	0	0	python main_script.py 4 2 50
70	:	1596669187.248	    89.320	0	369	0	0	python main_script.py 6 2 5
35	:	1596669187.176	    90.127	0	355	0	0	python main_script.py 5 2 30
34	:	1596669187.174	    92.282	0	352	0	0	python main_script.py 5 2 35
66	:	1596669187.240	    93.413	0	354	0	0	python main_script.py 6 2 25
76	:	1596669187.264	    93.759	0	355	0	0	python main_script.py 6 3 25
33	:	1596669187.172	    97.055	0	370	0	0	python main_script.py 5 2 40
65	:	1596669187.238	    98.049	0	370	0	0	python main_script.py 6 2 30
75	:	1596669187.262	    98.925	0	370	0	0	python main_script.py 6 3 30
31	:	1596669187.169	   101.624	0	367	0	0	python main_script.py 5 2 50
32	:	1596669187.170	   103.263	0	369	0	0	python main_script.py 5 2 45
64	:	1596669187.236	   103.424	0	355	0	0	python main_script.py 6 2 35
74	:	1596669187.257	   105.025	0	368	0	0	python main_script.py 6 3 35
63	:	1596669187.234	   107.026	0	370	0	0	python main_script.py 6 2 40
73	:	1596669187.255	   108.724	0	369	0	0	python main_script.py 6 3 40
72	:	1596669187.253	   113.483	0	356	0	0	python main_script.py 6 3 45
62	:	1596669187.232	   115.674	0	355	0	0	python main_script.py 6 2 45
98	:	1596669216.479	    87.638	0	370	0	0	python main_script.py 7 2 15
100	:	1596669216.484	    87.939	0	371	0	0	python main_script.py 7 2 5
108	:	1596669216.510	    88.736	0	363	0	0	python main_script.py 7 3 15
71	:	1596669187.250	   118.661	0	354	0	0	python main_script.py 6 3 50
99	:	1596669216.482	    89.912	0	371	0	0	python main_script.py 7 2 10
110	:	1596669216.519	    90.520	0	371	0	0	python main_script.py 7 3 5
97	:	1596669216.476	    90.651	0	370	0	0	python main_script.py 7 2 20
