Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
11	:	1599662596.696	     4.313	0	35	0	0	python main_script.py 2 2 50 0.09
15	:	1599662596.704	     4.342	0	35	0	0	python main_script.py 2 2 30 0.09
65	:	1599662596.813	     4.260	0	35	0	0	python main_script.py 3 2 30 0.09
20	:	1599662596.713	     4.385	0	35	0	0	python main_script.py 2 2 10 0.12
32	:	1599662596.737	     4.362	0	35	0	0	python main_script.py 2 4 50 0.12
25	:	1599662596.723	     4.381	0	35	0	0	python main_script.py 2 3 30 0.09
12	:	1599662596.698	     4.440	0	35	0	0	python main_script.py 2 2 50 0.12
18	:	1599662596.709	     4.446	0	35	0	0	python main_script.py 2 2 20 0.12
63	:	1599662596.808	     4.355	0	35	0	0	python main_script.py 3 2 40 0.09
42	:	1599662596.758	     4.412	0	35	0	0	python main_script.py 2 5 50 0.12
26	:	1599662596.725	     4.445	0	35	0	0	python main_script.py 2 3 30 0.12
19	:	1599662596.711	     4.465	0	35	0	0	python main_script.py 2 2 10 0.09
28	:	1599662596.729	     4.447	0	35	0	0	python main_script.py 2 3 20 0.12
37	:	1599662596.748	     4.440	0	35	0	0	python main_script.py 2 4 20 0.09
24	:	1599662596.721	     4.476	0	35	0	0	python main_script.py 2 3 40 0.12
50	:	1599662596.776	     4.428	0	35	0	0	python main_script.py 2 5 10 0.12
68	:	1599662596.822	     4.388	0	35	0	0	python main_script.py 3 2 20 0.12
77	:	1599662596.848	     4.362	0	35	0	0	python main_script.py 3 3 20 0.09
80	:	1599662596.862	     4.368	0	35	0	0	python main_script.py 3 3 10 0.12
40	:	1599662596.754	     4.482	0	35	0	0	python main_script.py 2 4 10 0.12
38	:	1599662596.750	     4.497	0	35	0	0	python main_script.py 2 4 20 0.12
46	:	1599662596.768	     4.493	0	35	0	0	python main_script.py 2 5 30 0.12
67	:	1599662596.819	     4.443	0	35	0	0	python main_script.py 3 2 20 0.09
69	:	1599662596.825	     4.437	0	35	0	0	python main_script.py 3 2 10 0.09
48	:	1599662596.772	     4.494	0	35	0	0	python main_script.py 2 5 20 0.12
29	:	1599662596.731	     4.546	0	35	0	0	python main_script.py 2 3 10 0.09
39	:	1599662596.752	     4.531	0	35	0	0	python main_script.py 2 4 10 0.09
47	:	1599662596.770	     4.518	0	35	0	0	python main_script.py 2 5 20 0.09
62	:	1599662596.805	     4.483	0	35	0	0	python main_script.py 3 2 50 0.12
64	:	1599662596.810	     4.479	0	35	0	0	python main_script.py 3 2 40 0.12
49	:	1599662596.774	     4.526	0	35	0	0	python main_script.py 2 5 10 0.09
70	:	1599662596.828	     4.484	0	35	0	0	python main_script.py 3 2 10 0.12
13	:	1599662596.700	     4.626	0	35	0	0	python main_script.py 2 2 40 0.09
75	:	1599662596.842	     4.496	0	35	0	0	python main_script.py 3 3 30 0.09
31	:	1599662596.735	     4.605	0	35	0	0	python main_script.py 2 4 50 0.09
16	:	1599662596.705	     4.644	0	35	0	0	python main_script.py 2 2 30 0.12
76	:	1599662596.844	     4.513	0	35	0	0	python main_script.py 3 3 30 0.12
36	:	1599662596.747	     4.615	0	35	0	0	python main_script.py 2 4 30 0.12
30	:	1599662596.733	     4.634	0	35	0	0	python main_script.py 2 3 10 0.12
79	:	1599662596.854	     4.520	0	35	0	0	python main_script.py 3 3 10 0.09
33	:	1599662596.739	     4.697	0	35	0	0	python main_script.py 2 4 40 0.09
41	:	1599662596.756	     4.684	0	35	0	0	python main_script.py 2 5 50 0.09
66	:	1599662596.816	     4.628	0	35	0	0	python main_script.py 3 2 30 0.12
22	:	1599662596.717	     4.750	0	35	0	0	python main_script.py 2 3 50 0.12
78	:	1599662596.851	     4.616	0	35	0	0	python main_script.py 3 3 20 0.12
21	:	1599662596.715	     4.828	0	35	0	0	python main_script.py 2 3 50 0.09
14	:	1599662596.702	     4.896	0	35	0	0	python main_script.py 2 2 40 0.12
61	:	1599662596.803	     4.814	0	35	0	0	python main_script.py 3 2 50 0.09
74	:	1599662596.839	     4.826	0	35	0	0	python main_script.py 3 3 40 0.12
73	:	1599662596.836	     4.992	0	35	0	0	python main_script.py 3 3 40 0.09
35	:	1599662596.745	     5.091	0	35	0	0	python main_script.py 2 4 30 0.09
45	:	1599662596.766	     5.075	0	35	0	0	python main_script.py 2 5 30 0.09
43	:	1599662596.761	     5.192	0	35	0	0	python main_script.py 2 5 40 0.09
17	:	1599662596.707	     5.273	0	35	0	0	python main_script.py 2 2 20 0.09
23	:	1599662596.719	     5.273	0	35	0	0	python main_script.py 2 3 40 0.09
27	:	1599662596.727	     5.279	0	35	0	0	python main_script.py 2 3 20 0.09
34	:	1599662596.742	     7.549	0	35	0	0	python main_script.py 2 4 40 0.12
81	:	1599662601.016	     3.938	0	35	0	0	python main_script.py 3 4 50 0.09
72	:	1599662596.833	     8.348	0	35	0	0	python main_script.py 3 3 50 0.12
44	:	1599662596.764	     8.554	0	35	0	0	python main_script.py 2 5 40 0.12
71	:	1599662596.831	     8.578	0	35	0	0	python main_script.py 3 3 50 0.09
83	:	1599662601.081	     4.458	0	35	0	0	python main_script.py 3 4 40 0.09
95	:	1599662601.202	     4.358	0	35	0	0	python main_script.py 3 5 30 0.09
93	:	1599662601.193	     4.530	0	35	0	0	python main_script.py 3 5 40 0.09
94	:	1599662601.197	     4.565	0	35	0	0	python main_script.py 3 5 40 0.12
97	:	1599662601.214	     4.569	0	35	0	0	python main_script.py 3 5 20 0.09
85	:	1599662601.111	     4.690	0	35	0	0	python main_script.py 3 4 30 0.09
96	:	1599662601.210	     4.603	0	35	0	0	python main_script.py 3 5 30 0.12
124	:	1599662601.474	     4.470	0	35	0	0	python main_script.py 4 3 40 0.12
87	:	1599662601.143	     4.838	0	35	0	0	python main_script.py 3 4 20 0.09
91	:	1599662601.181	     4.815	0	35	0	0	python main_script.py 3 5 50 0.09
86	:	1599662601.116	     4.980	0	35	0	0	python main_script.py 3 4 30 0.12
84	:	1599662601.105	     5.003	0	35	0	0	python main_script.py 3 4 40 0.12
127	:	1599662601.603	     4.552	0	35	0	0	python main_script.py 4 3 20 0.09
98	:	1599662601.218	     4.979	0	35	0	0	python main_script.py 3 5 20 0.12
129	:	1599662601.671	     4.540	0	35	0	0	python main_script.py 4 3 10 0.09
90	:	1599662601.176	     5.042	0	35	0	0	python main_script.py 3 4 10 0.12
126	:	1599662601.548	     4.682	0	35	0	0	python main_script.py 4 3 30 0.12
125	:	1599662601.479	     4.805	0	35	0	0	python main_script.py 4 3 30 0.09
122	:	1599662601.444	     4.848	0	35	0	0	python main_script.py 4 3 50 0.12
128	:	1599662601.622	     4.700	0	35	0	0	python main_script.py 4 3 20 0.12
121	:	1599662601.440	     4.924	0	35	0	0	python main_script.py 4 3 50 0.09
130	:	1599662601.836	     4.572	0	35	0	0	python main_script.py 4 3 10 0.12
100	:	1599662601.241	     5.195	0	35	0	0	python main_script.py 3 5 10 0.12
132	:	1599662601.845	     4.595	0	35	0	0	python main_script.py 4 4 50 0.12
99	:	1599662601.236	     5.371	0	35	0	0	python main_script.py 3 5 10 0.09
135	:	1599662601.997	     4.640	0	35	0	0	python main_script.py 4 4 30 0.09
82	:	1599662601.051	     5.593	0	35	0	0	python main_script.py 3 4 50 0.12
131	:	1599662601.841	     4.848	0	35	0	0	python main_script.py 4 4 50 0.09
89	:	1599662601.169	     5.570	0	35	0	0	python main_script.py 3 4 10 0.09
134	:	1599662601.986	     4.825	0	35	0	0	python main_script.py 4 4 40 0.12
88	:	1599662601.161	     5.874	0	35	0	0	python main_script.py 3 4 20 0.12
136	:	1599662602.011	     5.085	0	35	0	0	python main_script.py 4 4 30 0.12
92	:	1599662601.188	     6.003	0	35	0	0	python main_script.py 3 5 50 0.12
123	:	1599662601.449	     6.832	0	35	0	0	python main_script.py 4 3 40 0.09
133	:	1599662601.962	     6.759	0	35	0	0	python main_script.py 4 4 40 0.09
137	:	1599662604.310	     5.673	0	35	0	0	python main_script.py 4 4 20 0.09
139	:	1599662605.187	     6.016	0	35	0	0	python main_script.py 4 4 10 0.09
141	:	1599662605.416	     5.856	0	35	0	0	python main_script.py 4 5 50 0.09
140	:	1599662605.323	     6.011	0	35	0	0	python main_script.py 4 4 10 0.12
147	:	1599662605.809	     5.999	0	35	0	0	python main_script.py 4 5 20 0.09
142	:	1599662605.560	     6.335	0	35	0	0	python main_script.py 4 5 50 0.12
146	:	1599662605.802	     6.259	0	35	0	0	python main_script.py 4 5 30 0.12
138	:	1599662604.959	     7.269	0	35	0	0	python main_script.py 4 4 20 0.12
149	:	1599662605.949	     6.469	0	35	0	0	python main_script.py 4 5 10 0.09
150	:	1599662605.986	     6.465	0	35	0	0	python main_script.py 4 5 10 0.12
145	:	1599662605.769	     7.190	0	35	0	0	python main_script.py 4 5 30 0.09
148	:	1599662605.819	     7.318	0	35	0	0	python main_script.py 4 5 20 0.12
143	:	1599662605.578	     7.684	0	35	0	0	python main_script.py 4 5 40 0.09
144	:	1599662605.731	     7.677	0	35	0	0	python main_script.py 4 5 40 0.12
171	:	1599662606.828	     7.141	0	35	0	0	python main_script.py 5 3 50 0.09
174	:	1599662607.209	     7.101	0	35	0	0	python main_script.py 5 3 40 0.12
172	:	1599662607.054	     7.624	0	35	0	0	python main_script.py 5 3 50 0.12
173	:	1599662607.111	     7.718	0	35	0	0	python main_script.py 5 3 40 0.09
176	:	1599662608.727	     7.790	0	35	0	0	python main_script.py 5 3 30 0.12
175	:	1599662608.294	     8.675	0	35	0	0	python main_script.py 5 3 30 0.09
177	:	1599662610.001	     7.883	0	35	0	0	python main_script.py 5 3 20 0.09
179	:	1599662611.290	     6.726	0	35	0	0	python main_script.py 5 3 10 0.09
181	:	1599662611.821	     7.204	0	35	0	0	python main_script.py 5 4 50 0.09
178	:	1599662611.223	     7.955	0	35	0	0	python main_script.py 5 3 20 0.12
183	:	1599662612.069	     7.677	0	35	0	0	python main_script.py 5 4 40 0.09
180	:	1599662611.353	     9.088	0	35	0	0	python main_script.py 5 3 10 0.12
184	:	1599662612.250	     8.868	0	35	0	0	python main_script.py 5 4 40 0.12
182	:	1599662611.902	     9.236	0	35	0	0	python main_script.py 5 4 50 0.12
185	:	1599662612.436	     8.760	0	35	0	0	python main_script.py 5 4 30 0.09
187	:	1599662612.975	     8.312	0	35	0	0	python main_script.py 5 4 20 0.09
186	:	1599662612.477	     9.075	0	35	0	0	python main_script.py 5 4 30 0.12
188	:	1599662613.151	     8.513	0	35	0	0	python main_script.py 5 4 20 0.12
189	:	1599662613.284	     8.614	0	35	0	0	python main_script.py 5 4 10 0.09
193	:	1599662614.703	     7.869	0	35	0	0	python main_script.py 5 5 40 0.09
190	:	1599662613.422	     9.301	0	35	0	0	python main_script.py 5 4 10 0.12
191	:	1599662613.987	     9.039	0	35	0	0	python main_script.py 5 5 50 0.09
