Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
72	:	1599898211.637	     4.172	0	35	0	0	python main_script.py 3 3 50 0.12
71	:	1599898211.634	     4.300	0	35	0	0	python main_script.py 3 3 50 0.09
32	:	1599898211.537	     4.437	0	35	0	0	python main_script.py 2 4 50 0.12
43	:	1599898211.560	     4.420	0	35	0	0	python main_script.py 2 5 40 0.09
13	:	1599898211.499	     4.488	0	35	0	0	python main_script.py 2 2 40 0.09
68	:	1599898211.625	     4.369	0	35	0	0	python main_script.py 3 2 20 0.12
45	:	1599898211.564	     4.436	0	35	0	0	python main_script.py 2 5 30 0.09
15	:	1599898211.503	     4.503	0	35	0	0	python main_script.py 2 2 30 0.09
26	:	1599898211.524	     4.483	0	35	0	0	python main_script.py 2 3 30 0.12
20	:	1599898211.512	     4.523	0	35	0	0	python main_script.py 2 2 10 0.12
37	:	1599898211.547	     4.496	0	35	0	0	python main_script.py 2 4 20 0.09
24	:	1599898211.520	     4.539	0	35	0	0	python main_script.py 2 3 40 0.12
33	:	1599898211.539	     4.522	0	35	0	0	python main_script.py 2 4 40 0.09
21	:	1599898211.514	     4.564	0	35	0	0	python main_script.py 2 3 50 0.09
38	:	1599898211.549	     4.529	0	35	0	0	python main_script.py 2 4 20 0.12
39	:	1599898211.551	     4.527	0	35	0	0	python main_script.py 2 4 10 0.09
12	:	1599898211.497	     4.592	0	35	0	0	python main_script.py 2 2 50 0.12
11	:	1599898211.495	     4.596	0	35	0	0	python main_script.py 2 2 50 0.09
17	:	1599898211.506	     4.585	0	35	0	0	python main_script.py 2 2 20 0.09
40	:	1599898211.553	     4.539	0	35	0	0	python main_script.py 2 4 10 0.12
46	:	1599898211.567	     4.531	0	35	0	0	python main_script.py 2 5 30 0.12
31	:	1599898211.534	     4.574	0	35	0	0	python main_script.py 2 4 50 0.09
14	:	1599898211.501	     4.616	0	35	0	0	python main_script.py 2 2 40 0.12
35	:	1599898211.542	     4.575	0	35	0	0	python main_script.py 2 4 30 0.09
41	:	1599898211.555	     4.572	0	35	0	0	python main_script.py 2 5 50 0.09
69	:	1599898211.628	     4.504	0	35	0	0	python main_script.py 3 2 10 0.09
22	:	1599898211.516	     4.622	0	35	0	0	python main_script.py 2 3 50 0.12
62	:	1599898211.607	     4.532	0	35	0	0	python main_script.py 3 2 50 0.12
79	:	1599898211.668	     4.472	0	35	0	0	python main_script.py 3 3 10 0.09
64	:	1599898211.613	     4.544	0	35	0	0	python main_script.py 3 2 40 0.12
78	:	1599898211.655	     4.503	0	35	0	0	python main_script.py 3 3 20 0.12
49	:	1599898211.573	     4.610	0	35	0	0	python main_script.py 2 5 10 0.09
25	:	1599898211.522	     4.671	0	35	0	0	python main_script.py 2 3 30 0.09
28	:	1599898211.528	     4.670	0	35	0	0	python main_script.py 2 3 20 0.12
30	:	1599898211.532	     4.672	0	35	0	0	python main_script.py 2 3 10 0.12
75	:	1599898211.647	     4.557	0	35	0	0	python main_script.py 3 3 30 0.09
23	:	1599898211.518	     4.733	0	35	0	0	python main_script.py 2 3 40 0.09
