Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
67	:	1599813254.473	    24.006	0	35	0	0	python main_script.py 3 2 20 0.09
63	:	1599813254.462	    24.023	0	35	0	0	python main_script.py 3 2 40 0.09
66	:	1599813254.470	    24.030	0	35	0	0	python main_script.py 3 2 30 0.12
77	:	1599813254.503	    23.999	0	35	0	0	python main_script.py 3 3 20 0.09
41	:	1599813254.403	    24.125	0	35	0	0	python main_script.py 2 5 50 0.09
30	:	1599813254.378	    24.174	0	35	0	0	python main_script.py 2 3 10 0.12
48	:	1599813254.419	    24.141	0	35	0	0	python main_script.py 2 5 20 0.12
36	:	1599813254.392	    24.187	0	35	0	0	python main_script.py 2 4 30 0.12
18	:	1599813254.352	    24.227	0	35	0	0	python main_script.py 2 2 20 0.12
37	:	1599813254.394	    24.187	0	35	0	0	python main_script.py 2 4 20 0.09
50	:	1599813254.424	    24.157	0	35	0	0	python main_script.py 2 5 10 0.12
31	:	1599813254.381	    24.204	0	35	0	0	python main_script.py 2 4 50 0.09
46	:	1599813254.414	    24.172	0	35	0	0	python main_script.py 2 5 30 0.12
71	:	1599813254.485	    24.101	0	35	0	0	python main_script.py 3 3 50 0.09
26	:	1599813254.370	    24.223	0	35	0	0	python main_script.py 2 3 30 0.12
16	:	1599813254.347	    24.259	0	35	0	0	python main_script.py 2 2 30 0.12
35	:	1599813254.390	    24.220	0	35	0	0	python main_script.py 2 4 30 0.09
44	:	1599813254.409	    24.203	0	35	0	0	python main_script.py 2 5 40 0.12
62	:	1599813254.459	    24.153	0	35	0	0	python main_script.py 3 2 50 0.12
15	:	1599813254.345	    24.272	0	35	0	0	python main_script.py 2 2 30 0.09
74	:	1599813254.493	    24.125	0	35	0	0	python main_script.py 3 3 40 0.12
14	:	1599813254.343	    24.279	0	35	0	0	python main_script.py 2 2 40 0.12
47	:	1599813254.417	    24.207	0	35	0	0	python main_script.py 2 5 20 0.09
22	:	1599813254.361	    24.266	0	35	0	0	python main_script.py 2 3 50 0.12
49	:	1599813254.421	    24.207	0	35	0	0	python main_script.py 2 5 10 0.09
19	:	1599813254.354	    24.274	0	35	0	0	python main_script.py 2 2 10 0.09
78	:	1599813254.506	    24.124	0	35	0	0	python main_script.py 3 3 20 0.12
23	:	1599813254.363	    24.271	0	35	0	0	python main_script.py 2 3 40 0.09
43	:	1599813254.407	    24.227	0	35	0	0	python main_script.py 2 5 40 0.09
34	:	1599813254.388	    24.250	0	35	0	0	python main_script.py 2 4 40 0.12
68	:	1599813254.476	    24.164	0	35	0	0	python main_script.py 3 2 20 0.12
38	:	1599813254.396	    24.248	0	35	0	0	python main_script.py 2 4 20 0.12
73	:	1599813254.490	    24.158	0	35	0	0	python main_script.py 3 3 40 0.09
20	:	1599813254.356	    24.294	0	35	0	0	python main_script.py 2 2 10 0.12
76	:	1599813254.500	    24.154	0	35	0	0	python main_script.py 3 3 30 0.12
