Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
16	:	1599860370.713	     4.280	0	35	0	0	python main_script.py 2 2 30 0.12
30	:	1599860370.751	     4.315	0	35	0	0	python main_script.py 2 3 10 0.12
12	:	1599860370.705	     4.387	0	35	0	0	python main_script.py 2 2 50 0.12
19	:	1599860370.720	     4.376	0	35	0	0	python main_script.py 2 2 10 0.09
62	:	1599860370.831	     4.279	0	35	0	0	python main_script.py 3 2 50 0.12
13	:	1599860370.707	     4.418	0	35	0	0	python main_script.py 2 2 40 0.09
17	:	1599860370.715	     4.433	0	35	0	0	python main_script.py 2 2 20 0.09
15	:	1599860370.711	     4.453	0	35	0	0	python main_script.py 2 2 30 0.09
43	:	1599860370.783	     4.403	0	35	0	0	python main_script.py 2 5 40 0.09
39	:	1599860370.775	     4.416	0	35	0	0	python main_script.py 2 4 10 0.09
22	:	1599860370.729	     4.462	0	35	0	0	python main_script.py 2 3 50 0.12
50	:	1599860370.800	     4.397	0	35	0	0	python main_script.py 2 5 10 0.12
14	:	1599860370.709	     4.493	0	35	0	0	python main_script.py 2 2 40 0.12
49	:	1599860370.797	     4.411	0	35	0	0	python main_script.py 2 5 10 0.09
63	:	1599860370.833	     4.396	0	35	0	0	python main_script.py 3 2 40 0.09
31	:	1599860370.754	     4.476	0	35	0	0	python main_script.py 2 4 50 0.09
38	:	1599860370.772	     4.470	0	35	0	0	python main_script.py 2 4 20 0.12
20	:	1599860370.723	     4.530	0	35	0	0	python main_script.py 2 2 10 0.12
29	:	1599860370.749	     4.516	0	35	0	0	python main_script.py 2 3 10 0.09
67	:	1599860370.844	     4.434	0	35	0	0	python main_script.py 3 2 20 0.09
27	:	1599860370.743	     4.539	0	35	0	0	python main_script.py 2 3 20 0.09
36	:	1599860370.767	     4.516	0	35	0	0	python main_script.py 2 4 30 0.12
47	:	1599860370.792	     4.491	0	35	0	0	python main_script.py 2 5 20 0.09
40	:	1599860370.777	     4.539	0	35	0	0	python main_script.py 2 4 10 0.12
35	:	1599860370.765	     4.557	0	35	0	0	python main_script.py 2 4 30 0.09
61	:	1599860370.829	     4.494	0	35	0	0	python main_script.py 3 2 50 0.09
34	:	1599860370.762	     4.572	0	35	0	0	python main_script.py 2 4 40 0.12
78	:	1599860370.876	     4.468	0	35	0	0	python main_script.py 3 3 20 0.12
21	:	1599860370.726	     4.623	0	35	0	0	python main_script.py 2 3 50 0.09
23	:	1599860370.732	     4.618	0	35	0	0	python main_script.py 2 3 40 0.09
64	:	1599860370.836	     4.515	0	35	0	0	python main_script.py 3 2 40 0.12
73	:	1599860370.861	     4.490	0	35	0	0	python main_script.py 3 3 40 0.09
65	:	1599860370.838	     4.523	0	35	0	0	python main_script.py 3 2 30 0.09
66	:	1599860370.841	     4.540	0	35	0	0	python main_script.py 3 2 30 0.12
48	:	1599860370.794	     4.588	0	35	0	0	python main_script.py 2 5 20 0.12
45	:	1599860370.787	     4.611	0	35	0	0	python main_script.py 2 5 30 0.09
71	:	1599860370.856	     4.548	0	35	0	0	python main_script.py 3 3 50 0.09
70	:	1599860370.853	     4.573	0	35	0	0	python main_script.py 3 2 10 0.12
42	:	1599860370.781	     4.657	0	35	0	0	python main_script.py 2 5 50 0.12
77	:	1599860370.872	     4.574	0	35	0	0	python main_script.py 3 3 20 0.09
24	:	1599860370.735	     4.720	0	35	0	0	python main_script.py 2 3 40 0.12
76	:	1599860370.869	     4.601	0	35	0	0	python main_script.py 3 3 30 0.12
18	:	1599860370.718	     4.756	0	35	0	0	python main_script.py 2 2 20 0.12
41	:	1599860370.779	     4.700	0	35	0	0	python main_script.py 2 5 50 0.09
80	:	1599860370.882	     4.627	0	35	0	0	python main_script.py 3 3 10 0.12
37	:	1599860370.770	     4.753	0	35	0	0	python main_script.py 2 4 20 0.09
68	:	1599860370.847	     4.685	0	35	0	0	python main_script.py 3 2 20 0.12
69	:	1599860370.850	     4.683	0	35	0	0	python main_script.py 3 2 10 0.09
32	:	1599860370.756	     4.780	0	35	0	0	python main_script.py 2 4 50 0.12
74	:	1599860370.863	     4.686	0	35	0	0	python main_script.py 3 3 40 0.12
75	:	1599860370.866	     4.738	0	35	0	0	python main_script.py 3 3 30 0.09
72	:	1599860370.858	     4.779	0	35	0	0	python main_script.py 3 3 50 0.12
44	:	1599860370.785	     4.857	0	35	0	0	python main_script.py 2 5 40 0.12
26	:	1599860370.741	     4.923	0	35	0	0	python main_script.py 2 3 30 0.12
79	:	1599860370.878	     5.392	0	35	0	0	python main_script.py 3 3 10 0.09
46	:	1599860370.790	     5.486	0	35	0	0	python main_script.py 2 5 30 0.12
11	:	1599860370.703	     7.833	0	35	0	0	python main_script.py 2 2 50 0.09
25	:	1599860370.738	     7.994	0	35	0	0	python main_script.py 2 3 30 0.09
28	:	1599860370.746	     8.042	0	35	0	0	python main_script.py 2 3 20 0.12
33	:	1599860370.759	     8.052	0	35	0	0	python main_script.py 2 4 40 0.09
87	:	1599860375.160	     4.408	0	35	0	0	python main_script.py 3 4 20 0.09
85	:	1599860375.115	     4.517	0	35	0	0	python main_script.py 3 4 30 0.09
81	:	1599860374.999	     4.644	0	35	0	0	python main_script.py 3 4 50 0.09
97	:	1599860375.247	     4.531	0	35	0	0	python main_script.py 3 5 20 0.09
91	:	1599860375.203	     4.605	0	35	0	0	python main_script.py 3 5 50 0.09
86	:	1599860375.132	     4.730	0	35	0	0	python main_script.py 3 4 30 0.12
84	:	1599860375.102	     4.765	0	35	0	0	python main_script.py 3 4 40 0.12
98	:	1599860375.260	     4.644	0	35	0	0	python main_script.py 3 5 20 0.12
124	:	1599860375.486	     4.485	0	35	0	0	python main_script.py 4 3 40 0.12
90	:	1599860375.197	     4.792	0	35	0	0	python main_script.py 3 4 10 0.12
82	:	1599860375.071	     4.934	0	35	0	0	python main_script.py 3 4 50 0.12
94	:	1599860375.218	     4.789	0	35	0	0	python main_script.py 3 5 40 0.12
88	:	1599860375.170	     4.855	0	35	0	0	python main_script.py 3 4 20 0.12
95	:	1599860375.235	     4.805	0	35	0	0	python main_script.py 3 5 30 0.09
96	:	1599860375.241	     4.819	0	35	0	0	python main_script.py 3 5 30 0.12
89	:	1599860375.191	     4.898	0	35	0	0	python main_script.py 3 4 10 0.09
93	:	1599860375.213	     4.894	0	35	0	0	python main_script.py 3 5 40 0.09
92	:	1599860375.208	     4.937	0	35	0	0	python main_script.py 3 5 50 0.12
99	:	1599860375.271	     4.916	0	35	0	0	python main_script.py 3 5 10 0.09
100	:	1599860375.283	     4.956	0	35	0	0	python main_script.py 3 5 10 0.12
131	:	1599860375.609	     4.670	0	35	0	0	python main_script.py 4 4 50 0.09
83	:	1599860375.097	     5.200	0	35	0	0	python main_script.py 3 4 40 0.09
128	:	1599860375.542	     4.763	0	35	0	0	python main_script.py 4 3 20 0.12
133	:	1599860375.652	     4.666	0	35	0	0	python main_script.py 4 4 40 0.09
126	:	1599860375.526	     4.799	0	35	0	0	python main_script.py 4 3 30 0.12
125	:	1599860375.514	     4.837	0	35	0	0	python main_script.py 4 3 30 0.09
123	:	1599860375.480	     4.898	0	35	0	0	python main_script.py 4 3 40 0.09
129	:	1599860375.546	     4.832	0	35	0	0	python main_script.py 4 3 10 0.09
127	:	1599860375.537	     4.842	0	35	0	0	python main_script.py 4 3 20 0.09
121	:	1599860375.460	     4.994	0	35	0	0	python main_script.py 4 3 50 0.09
122	:	1599860375.475	     5.011	0	35	0	0	python main_script.py 4 3 50 0.12
134	:	1599860375.669	     4.838	0	35	0	0	python main_script.py 4 4 40 0.12
130	:	1599860375.553	     4.957	0	35	0	0	python main_script.py 4 3 10 0.12
136	:	1599860376.280	     4.305	0	35	0	0	python main_script.py 4 4 30 0.12
